# observed	canonical	provenance
search	search	language-fts-playground-english-demo
searching	search	language-fts-playground-english-demo
searched	search	language-fts-playground-english-demo
searches	search	language-fts-playground-english-demo
story	story	language-fts-playground-english-demo
stories	story	language-fts-playground-english-demo
sky	sky	language-fts-playground-english-demo
skies	sky	language-fts-playground-english-demo
make	make	language-fts-playground-english-demo
making	make	language-fts-playground-english-demo
bake	bake	language-fts-playground-english-demo
baked	bake	language-fts-playground-english-demo
box	box	language-fts-playground-english-demo
boxes	box	language-fts-playground-english-demo
run	run	language-fts-playground-english-demo
running	run	language-fts-playground-english-demo
stop	stop	language-fts-playground-english-demo
stopped	stop	language-fts-playground-english-demo
child	child	language-fts-playground-english-demo
children	child	language-fts-playground-english-demo
feet	foot	language-fts-playground-english-curated-irregulars
geese	goose	language-fts-playground-english-curated-irregulars
men	man	language-fts-playground-english-curated-irregulars
mice	mouse	language-fts-playground-english-curated-irregulars
person	person	language-fts-playground-english-demo
people	person	language-fts-playground-english-demo
teeth	tooth	language-fts-playground-english-curated-irregulars
women	woman	language-fts-playground-english-curated-irregulars
