# observed	canonical	provenance
lodz	lodz	language-fts-playground-polish-demo
polska	polska	language-fts-playground-polish-demo
polskiej	polska	language-fts-playground-polish-demo
polskimi	polska	language-fts-playground-polish-demo
partycja	partycja	language-fts-playground-polish-demo
partycji	partycja	language-fts-playground-polish-demo
partiami	partia	language-fts-playground-polish-demo
wyszukiwac	wyszukiwac	language-fts-playground-polish-demo
wyszukiwanie	wyszukiwac	language-fts-playground-polish-demo
wyszukiwania	wyszukiwac	language-fts-playground-polish-demo
wyszukiwaniu	wyszukiwac	language-fts-playground-polish-demo
wyszukiwarka	wyszukiwarka	language-fts-playground-polish-demo
wyszukiwarkach	wyszukiwarka	language-fts-playground-polish-demo
odnajdywac	odnajdywac	language-fts-playground-polish-demo
odnajdywanie	odnajdywac	language-fts-playground-polish-demo
odnajdywania	odnajdywac	language-fts-playground-polish-demo
odnajdywaniu	odnajdywac	language-fts-playground-polish-demo
szukac	szukac	language-fts-playground-polish-demo
szuka	szukac	language-fts-playground-polish-demo
szukaj	szukac	language-fts-playground-polish-demo
szukanie	szukac	language-fts-playground-polish-demo
szukania	szukac	language-fts-playground-polish-demo
fotografia	fotografia	language-fts-playground-polish-demo
fotografii	fotografia	language-fts-playground-polish-demo
fotografiami	fotografia	language-fts-playground-polish-demo
zielony	zielony	language-fts-playground-polish-demo
zielonymi	zielony	language-fts-playground-polish-demo
zielonego	zielony	language-fts-playground-polish-demo
zielonych	zielony	language-fts-playground-polish-demo
dom	dom	language-fts-playground-polish-demo
domami	dom	language-fts-playground-polish-demo
domach	dom	language-fts-playground-polish-demo
domem	dom	language-fts-playground-polish-demo
domu	dom	language-fts-playground-polish-demo
