# id	min_term_length	pattern	strip_prefix	strip_suffix	append	min_key_length	flags	alternate_pattern	alternate_replacement	provenance
pl-010-owaniach	13	/^[a-z]+owaniach$/u		owaniach		5				language-fts-playground-polish-curated-term-rules
pl-020-owaniami	13	/^[a-z]+owaniami$/u		owaniami		5				language-fts-playground-polish-curated-term-rules
pl-030-owania	11	/^[a-z]+owania$/u		owania		5				language-fts-playground-polish-curated-term-rules
pl-040-owanie	11	/^[a-z]+owanie$/u		owanie		5				language-fts-playground-polish-curated-term-rules
pl-050-owaniu	11	/^[a-z]+owaniu$/u		owaniu		5				language-fts-playground-polish-curated-term-rules
pl-060-skiego	10	/^[a-z]+skiego$/u		skiego		4				language-fts-playground-polish-curated-term-rules
pl-070-skiej	9	/^[a-z]+skiej$/u		skiej		4				language-fts-playground-polish-curated-term-rules
pl-080-skich	9	/^[a-z]+skich$/u		skich		4				language-fts-playground-polish-curated-term-rules
pl-090-skimi	9	/^[a-z]+skimi$/u		skimi		4				language-fts-playground-polish-curated-term-rules
pl-100-iego	8	/^[a-z]+iego$/u		iego		4				language-fts-playground-polish-curated-term-rules
pl-110-ymi	7	/^[a-z]+ymi$/u		ymi		4				language-fts-playground-polish-curated-term-rules
pl-120-imi	7	/^[a-z]+imi$/u		imi		4				language-fts-playground-polish-curated-term-rules
pl-130-ami	6	/^[a-z]+ami$/u		ami		3				language-fts-playground-polish-curated-term-rules
pl-140-ach	6	/^[a-z]+ach$/u		ach		3				language-fts-playground-polish-curated-term-rules
pl-150-ych	7	/^[a-z]+ych$/u		ych		4				language-fts-playground-polish-curated-term-rules
pl-160-ich	7	/^[a-z]+ich$/u		ich		4				language-fts-playground-polish-curated-term-rules
pl-170-ego	7	/^[a-z]+ego$/u		ego		4				language-fts-playground-polish-curated-term-rules
pl-180-emu	7	/^[a-z]+emu$/u		emu		4				language-fts-playground-polish-curated-term-rules
pl-190-iej	7	/^[a-z]+iej$/u		iej		4				language-fts-playground-polish-curated-term-rules
pl-200-owi	6	/^[a-z]+owi$/u		owi		3				language-fts-playground-polish-curated-term-rules
pl-210-iem	7	/^[a-z]+iem$/u		iem		4				language-fts-playground-polish-curated-term-rules
pl-220-ym	6	/^[a-z]+ym$/u		ym		4				language-fts-playground-polish-curated-term-rules
pl-230-im	6	/^[a-z]+im$/u		im		4				language-fts-playground-polish-curated-term-rules
pl-240-om	5	/^[a-z]+om$/u		om		3				language-fts-playground-polish-curated-term-rules
pl-250-ow	5	/^[a-z]+ow$/u		ow		3				language-fts-playground-polish-curated-term-rules
pl-260-em	5	/^[a-z]+em$/u		em		3				language-fts-playground-polish-curated-term-rules
pl-270-ej	6	/^[a-z]+ej$/u		ej		4				language-fts-playground-polish-curated-term-rules
pl-280-ii	6	/^[a-z]+ii$/u		ii		4				language-fts-playground-polish-curated-term-rules
pl-290-ia	6	/^[a-z]+ia$/u		ia		4				language-fts-playground-polish-curated-term-rules
pl-300-ie	6	/^[a-z]+ie$/u		ie		4				language-fts-playground-polish-curated-term-rules
pl-310-iu	6	/^[a-z]+iu$/u		iu		4				language-fts-playground-polish-curated-term-rules
pl-320-final-a	6	/^[a-z]+a$/u		a		5				language-fts-playground-polish-curated-term-rules
pl-330-final-i	6	/^[a-z]+i$/u		i		5				language-fts-playground-polish-curated-term-rules
pl-340-final-e	6	/^[a-z]+e$/u		e		5				language-fts-playground-polish-curated-term-rules
pl-350-final-y	6	/^[a-z]+y$/u		y		5				language-fts-playground-polish-curated-term-rules
pl-360-final-u	6	/^[a-z]+u$/u		u		5				language-fts-playground-polish-curated-term-rules
pl-370-final-o	6	/^[a-z]+o$/u		o		5				language-fts-playground-polish-curated-term-rules
